0,9994
3934,8607
4879,8531
7919,7385
11991,9452
12967,9558
15991,6754
16911,9905
19879,7654
23895,2386
24335,9101
24768,2354
27984,1802
28471,8468
29438,8964
32023,8466
35919,0376
36902,6673
39902,917
43934,8818
44846,9449
47935,8668
48430,658
48919,8555
51895,1386
75830,4876
76623,0696
79519,546
80350,9756
83086,9211
83551,1089
84014,8184
86639,1706
87110,9251
87550,9298
90270,8495
91158,8543
93982,8673
94423,1705
97654,9149
98110,9562
98558,7703
101293,8622
102190,8662
114966,8235
118294,7062
119103,0362
121510,0235
121925,7524
122341,6953
125254,6466
128254,8637
128662,8588
129358,5074
132038,2159
132478,0224
135293,9929
135734,1965
138549,4971
138981,5202
139390,4778
142437,9066
154550,1445
155310,0723
157702,8868
158133,8581
158493,9367
160806,2533
164037,8528
164390,2227
164766,3712
165182,2142
167533,8874
168141,7562
170126,5206
170525,8573
170877,8764
171238,2959
173255,2807
176525,9711
179966,1737
180317,8642
183741,8805
196373,9415
196701,7902
197094,7097
199102,1148
199542,3783
200102,1898
202253,9692
202654,0251
203013,9971
203381,9478
205118,0409
205510,8044
205893,681
206261,8695
208029,6804
208757,7476
209157,8343
211710,1479
212117,967
213893,0533
214476,7693
214693,806
216822,6201
217229,5799
217997,4582
219797,9201
220405,8504
220566,0631
220830,1412
222694,0916
223565,4609
235589,8637
235909,0097
236260,7947
236605,0838
238333,1329
238524,9037
239021,8758
239173,8294
241069,093
241388,8585
241725,629
242069,9389
243821,3686
243966,3785
244444,7584
244597,9462
246461,2472
247412,8817
249188,8195
249917,8714
250309,9324
251861,3485
252244,9203
254764,826
255117,4305
255669,0642
255861,5719
257405,9979
257724,8737
260109,5964
260509,8802
260885,6217
261061,6289
261204,885
282084,8583
282589,0625
283117,0546
283580,5243
286284,9956
287245,1568
289605,8973
289909,1328
290180,906
290476,7219
290772,5414
291061,2977
291308,8687
293573,2259
294060,9159
294580,7519
294789,376
295004,9423
297116,9616
297612,8562
298085,0755
300884,4346
301068,3206
301836,3847
302036,0657
304956,2361
305724,2102
308349,4652
308596,9239
309107,9313
309308,9673
309844,9179
310053,0255
312068,2667
313052,8251
315892,7703
316053,252
317229,1767
317476,6813
319707,982
320012,2614
320293,4628
320541,0234
320804,9042
321053,128
321308,1998
323356,8685
323660,5368
324380,6377
324636,4958
327132,7302
327588,8728
328068,899
328540,8444
330916,9239
331300,8958
331916,4537
332124,5399
332324,8818
332524,992
334604,9089
334884,4953
335165,0015
335419,8584
335635,9821
335884,5763
336204,8735
338380,7542
338660,9036
338940,8754
339179,9769
339460,854
339716,9164
339940,7139
340125,2292
342348,8461
343188,7047
347012,7131
347636,6248
350979,8526
352220,2232
356043,9654
362196,9909
367332,8507
394155,8389
400810,0898
